Yearly plan 2024,,,,,
Quartly plan Q1/2024,,,,,
,,,,,
Project Name,,,PM,Start Date,End date
Train new model,,,Bachtn,02/07/24,05/01/24
,,,,,
,,,,,
,,,,,
Week,Feature,Sprint,Realease#,Point est,Status
2/7/2024,Set up project environment,Sprint 1,,3,Todo
2/14/2024,Collect dataset,,0,8,Todo
2/21/2024,Preprocess data,Sprint 2,,5,Todo
2/28/2024,Split data into train/test,,0.1,8,Todo
3/6/2024,Train the model,Sprint 3,,13,Todo
3/13/2024,Evaluate model performance,,,13,Todo
3/20/2024,Fine-tune the model,Sprint 4,,8,Todo
3/27/2024,Validate the model,,0.2,5,Todo
4/3/2024,Update documentation,Sprint 5,,5,Todo
4/10/2024,Test deployment,,0.3,5,Todo
4/17/2024,Refine and optimize,Sprint 6,,3,Todo
4/24/2024,Finalize project,,1,8,Todo
,Goals,,,,
,"Train a new model to house price prediction
",,,,
,,,,,
A quarterly plan ,,,,,
,To do ,Difficulty estimation,,,
Q1/2024,Train new model,1,,,
Q2/2024,infrastructure deployment,3,,,
Q3/2024,"Add new 3rd party like payment, subscribe",2,,,
Q4/2024,Release to client,3,,,
,,,,,
,,,,,
,,,,,
,,,,,
A yearly plan ,,,,,
,To do ,Difficulty estimation,,,
2024,Release product,1,,,
2025,10000 Users use product per month,1,,,
2026,Revenue 4M$,2,,,
